id,kingdom,phylum,class,order,family,genus,scientific_name,taxonomic_authority,infra_rank,infra_name,category,common_name
31583,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA OREOPHILA,RIDLEY,NULL,NULL,LR/LC,NULL
31584,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA ORITES,RIDLEY,NULL,NULL,LR/CD,NULL
31585,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PAHANGENSIS,RIDLEY,NULL,NULL,LR/CD,NULL
31586,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PALLIDULA,RIDLEY,NULL,NULL,VU,NULL
31587,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PEARSONIANA,KING,NULL,NULL,LR/CD,NULL
31588,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PERAKENSIS,KING,NULL,NULL,LR/LC,NULL
31589,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PERGAMENTACEA,KING,NULL,NULL,LR/LC,NULL
31590,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA POLITA,KING,NULL,NULL,LR/LC,NULL
31591,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PRAESTIGIOSA,M.R. HENDERSON,NULL,NULL,DD,NULL
31592,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PRAINIANA,KING,NULL,NULL,LR/LC,NULL
31593,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA PSEUDOCLAVIFLORA,M.R. HENDERSON,NULL,NULL,VU,NULL
31594,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA QUADRATA,KING,NULL,NULL,VU,NULL
31595,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA QUADRIBRACTEATA,HEND.,NULL,NULL,LR/LC,NULL
31596,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,EUGENIA,EUGENIA RHOMBOIDEA,RIDLEY,NULL,NULL,VU,NULL
